,manufacturer_name,transmission,color,odometer_value,year_produced,engine_fuel,engine_type,engine_capacity,body_type,has_warranty,ownership,type_of_drive,is_exchangeable,number_of_photos,number_of_maintenance,duration_listed,price_usd
22110,Skoda,automatic,brown,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,12,26,35053.12
22567,Skoda,manual,white,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,12,26,20581.9
22748,Skoda,manual,other,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,2,14544.72
22959,Skoda,automatic,blue,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,11,26,18487.62
23054,Skoda,automatic,blue,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,12,26,39279.62
23130,Skoda,manual,blue,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,15129.47
23157,Skoda,automatic,blue,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,16603.43
23216,Skoda,automatic,blue,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,12,26,34817.41
23550,Skoda,automatic,white,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,12,26,16382.43
23778,Skoda,manual,black,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,12,26,21970.98
23893,Skoda,manual,white,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,2,16679.79
23970,Mercedes-Benz,automatic,white,0,2019,gasoline,gasoline,1.3,sedan,False,new,front,False,21,7,11,36869.69
24069,Skoda,automatic,blue,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,1,2,40305.42
24241,Skoda,automatic,white,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,1,16569.75
24252,Skoda,automatic,green,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,12,26,39978.66
24340,Skoda,automatic,black,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,2,16401.88
24398,Skoda,automatic,green,0,2019,gasoline,gasoline,1.4,suv,True,new,front,True,15,12,26,37157.36
24574,Skoda,manual,black,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,14746.28
24655,Skoda,manual,blue,0,2019,gasoline,gasoline,1.4,suv,True,new,front,True,15,13,26,27861.61
24978,Skoda,automatic,other,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,1,2,17490.75
25065,Skoda,manual,silver,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,16926.87
25268,Skoda,automatic,green,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,2,3,36439.82
25325,Skoda,automatic,silver,0,2019,gasoline,gasoline,1.4,suv,True,new,front,True,15,10,26,27410.6
25423,Skoda,manual,white,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,2,14419.52
25718,Mercedes-Benz,automatic,black,0,2019,gasoline,gasoline,1.6,sedan,False,new,rear,False,19,10,14,38850.75
26008,Skoda,automatic,other,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,12,26,17490.75
26217,Skoda,manual,other,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,14746.28
26495,Skoda,automatic,red,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,11,26,18776.43
26854,Skoda,automatic,black,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,2,16105.47
26971,Skoda,automatic,silver,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,1,2,26074.17
27029,Skoda,manual,red,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,1,15118.56
27179,Skoda,automatic,other,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,18487.62
27332,Skoda,automatic,other,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,12,26,39279.62
27445,Skoda,automatic,green,0,2019,gasoline,gasoline,1.4,suv,True,new,front,True,15,1,2,27412.98
27461,Fiat,manual,grey,0,2019,diesel,diesel,1.6,universal,False,new,front,False,15,331,781,27514.7
27481,Skoda,automatic,red,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,1,1,19052.45
27605,Skoda,manual,blue,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,11,26,17173.0
27862,Skoda,automatic,white,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,1,2,19165.32
27976,Geely,manual,white,0,2019,gasoline,gasoline,2.0,suv,False,new,front,True,25,15,17,17800.0
28154,Skoda,automatic,grey,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,1,2,36880.39
28335,Skoda,automatic,grey,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,12,26,36860.48
28681,Skoda,automatic,silver,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,12,26,39228.4
28716,Skoda,manual,green,0,2019,gasoline,gasoline,1.4,suv,True,new,front,True,15,11,26,25072.56
28748,Skoda,automatic,brown,0,2019,gasoline,gasoline,1.8,sedan,True,new,front,True,15,1,1,24564.17
28863,Skoda,automatic,other,0,2019,gasoline,gasoline,1.4,suv,True,new,all,True,15,12,26,36080.33
28948,Skoda,manual,white,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,12,26,17980.65
29038,Skoda,automatic,blue,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,13,26,16455.93
29071,Skoda,manual,brown,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,12,26,15976.48
29324,Skoda,manual,blue,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,12,26,19724.93
29436,Skoda,automatic,grey,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,11,26,35055.49
29438,Skoda,automatic,blue,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,18885.52
29462,Skoda,manual,brown,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,2,14746.28
29550,Skoda,automatic,white,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,1,2,17272.12
29795,Audi,automatic,white,0,2019,gasoline,gasoline,2.0,sedan,False,new,front,False,7,13,34,33310.4
30409,Skoda,automatic,other,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,18140.0
30436,Skoda,automatic,black,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,12,26,18582.47
30522,Skoda,automatic,blue,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,1,2,17491.23
31344,Skoda,automatic,black,0,2019,gasoline,gasoline,2.0,sedan,True,new,front,True,15,1,0,33577.73
31605,Skoda,automatic,blue,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,12,26,35565.78
31657,Renault,manual,silver,0,2018,gasoline,gasoline,1.6,suv,False,new,front,False,9,1,7,9500.0
31924,Hyundai,automatic,orange,0,2019,gasoline,gasoline,1.6,sedan,False,new,front,False,1,1,16,16058.05
31981,Skoda,manual,green,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,2,19381.11
32274,Kia,automatic,silver,0,2019,gasoline,gasoline,1.6,sedan,False,new,front,True,5,191,430,13987.95
33126,Skoda,manual,brown,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,2,19381.11
33142,LADA,manual,silver,0,2019,gas,gasoline,1.6,sedan,False,new,front,False,24,27,140,13800.0
33283,Skoda,manual,brown,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,15227.64
33330,Skoda,manual,white,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,15,31,15556.77
33521,Kia,automatic,red,0,2019,gasoline,gasoline,1.2,hatchback,False,new,front,False,8,9,11,13900.0
33683,Skoda,automatic,other,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,12,26,34292.9
33718,Skoda,manual,white,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,14365.93
33835,Skoda,manual,blue,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,12,26,18260.93
34057,Jeep,automatic,orange,0,2017,gasoline,gasoline,1.4,suv,False,new,all,False,9,330,773,34900.0
34208,Skoda,automatic,black,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,1,2,36507.64
34327,Skoda,manual,blue,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,12,26,18089.73
34340,Hyundai,automatic,grey,0,2019,gasoline,gasoline,1.6,universal,False,new,front,False,1,1,16,17136.96
34536,Skoda,automatic,silver,0,2019,gasoline,gasoline,1.4,suv,True,new,front,True,15,12,26,34909.89
34650,Skoda,automatic,green,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,12,26,34383.0
34726,Skoda,automatic,grey,0,2019,gasoline,gasoline,2.0,sedan,True,new,front,True,15,1,0,32191.98
34796,Skoda,automatic,brown,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,1,2,19189.98
34845,Kia,automatic,black,0,2019,diesel,diesel,2.2,suv,True,new,all,True,11,49,83,44700.0
34872,Skoda,manual,red,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,2,14855.35
35027,Skoda,automatic,white,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,18667.36
35050,Skoda,automatic,silver,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,1,2,39686.51
35151,Skoda,automatic,green,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,14,26,40039.83
35279,LADA,manual,white,0,2019,gas,gasoline,1.6,sedan,False,new,front,False,6,2,27,12500.0
35323,Skoda,manual,white,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,12,26,17608.37
35351,Skoda,automatic,blue,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,12,26,39228.87
35967,Hyundai,automatic,red,0,2019,gasoline,gasoline,2.0,sedan,False,new,front,False,1,1,16,21820.17
36051,Skoda,automatic,blue,0,2019,gasoline,gasoline,1.4,suv,True,new,front,True,15,10,26,27689.46
36170,Skoda,automatic,grey,0,2018,gasoline,gasoline,2.0,suv,False,new,all,False,3,111,427,34000.0
36209,Skoda,automatic,brown,0,2019,diesel,diesel,2.0,suv,True,new,all,True,14,51,83,37500.0
36634,Skoda,automatic,green,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,12,26,34598.79
36925,Skoda,automatic,black,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,1,18487.62
37128,Skoda,automatic,brown,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,12,26,38223.47
37217,Skoda,manual,green,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,12,26,17082.41
37281,Skoda,manual,brown,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,14544.72
37551,Skoda,manual,red,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,2,15337.66
37615,Skoda,automatic,green,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,1,2,34789.43
37961,Mini,automatic,silver,0,2019,gasoline,gasoline,1.5,hatchback,False,new,front,False,28,68,88,32907.58
38522,Skoda,automatic,green,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,11,26,34414.3
38546,Skoda,automatic,blue,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,2,3,19587.88
38805,Skoda,automatic,white,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,12,26,38937.21
39024,Skoda,automatic,white,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,10,26,39954.47
39052,Skoda,automatic,black,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,12,26,38222.99
39109,BMW,automatic,blue,0,2019,diesel,diesel,2.0,sedan,True,new,all,True,26,6,11,47000.0
39439,Skoda,automatic,green,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,12,26,35405.48
